,venue,latitude,longitude,category,center_lat,center_long
17,Fairfield Inn & Suites Saratoga Malta,42.96723787894175,-73.79945889115334,Hotel,42.97886758168893,-73.78584206537231
18,Stewart's Shops,42.97178846,-73.79243111,Convenience Store,42.97886758168893,-73.78584206537231
19,Redbox,42.973262786865234,-73.79539489746094,Video Store,42.97886758168893,-73.78584206537231
20,Panera Bread,42.9700929,-73.7984785,Bakery,42.97886758168893,-73.78584206537231
21,Nanola,42.983789,-73.7859114,Cajun / Creole,42.97886758168893,-73.78584206537231
22,Albany-Saratoga Speedway,42.98804447021046,-73.78442760091247,Racetrack,42.97886758168893,-73.78584206537231
23,Verizon Authorized Retailer — Cellular Sales,42.9704055,-73.7958984,Mobile Phones,42.97886758168893,-73.78584206537231
24,CVS pharmacy,42.97359072037737,-73.79131539967962,Pharmacy,42.97886758168893,-73.78584206537231
25,Dunkin',42.970426126421806,-73.79479877968663,Donuts,42.97886758168893,-73.78584206537231
26,Sunoco,42.96969261779648,-73.79226788546488,Gas Station,42.97886758168893,-73.78584206537231
27,Price Chopper,42.973057,-73.795044,Supermarket,42.97886758168893,-73.78584206537231
28,SUBWAY,42.97394077754321,-73.7955876430812,Sandwiches,42.97886758168893,-73.78584206537231
29,KFC,42.97181578660911,-73.79402122453689,Fried Chicken,42.97886758168893,-73.78584206537231
30,Pellegrino Imports,42.97824926769685,-73.78914991109109,Deli / Bodega,42.97886758168893,-73.78584206537231
31,Pizza Nook,42.983673095703125,-73.78543853759766,Pizza,42.97886758168893,-73.78584206537231
32,BUA Thai Sushi,42.97479069027529,-73.79000700153206,Thai,42.97886758168893,-73.78584206537231
33,Global Fitness,42.9740834617603,-73.79515549302381,Gym,42.97886758168893,-73.78584206537231
34,Deluxe Nails And Spa,42.97385178578856,-73.79499435424805,Nail Salon,42.97886758168893,-73.78584206537231
35,Tasty Chinese Restaurant,42.974165781484885,-73.79533767700195,Chinese,42.97886758168893,-73.78584206537231
36,Wine & Liquor Shop of Malta,42.9738564686574,-73.79528694156481,Wine Shop,42.97886758168893,-73.78584206537231
37,Welcome Relief Massage Therapy,42.96873342989718,-73.79070281982422,Massage Studio,42.97886758168893,-73.78584206537231
38,Malta Community Park,42.98065506633,-73.7669678711998,Park,42.97886758168893,-73.78584206537231
39,Nostalgia Ale House & Wine Bar,42.987745,-73.759141,Italian,42.97886758168893,-73.78584206537231
0,"Pemrick Farms Construction, Trucking, & Excavation",42.93964385986328,-73.49199676513672,Construction,42.95591782843093,-73.49512630708034
0,None,42.95708959879634,-73.58704671990728,None,42.95708959879634,-73.58704671990728
0,Sunshine Gardens,42.9689,-74.09868,Garden Center,42.96233544192828,-74.10801962588872
0,In The Boondocks!,42.93497905535941,-73.43178984918129,Farm,42.93539564982832,-73.41902921153157
1,hoosic river eagle bridge fishing hole,42.95229497366005,-73.41938791881597,Fishing Spot,42.93539564982832,-73.41902921153157
2,United States Postal Service,42.94963789087905,-73.39617401361465,Post Office,42.93539564982832,-73.41902921153157
0,"Pemrick Farms Construction, Trucking, & Excavation",42.93964385986328,-73.49199676513672,Construction,42.93622545522573,-73.48028639214687
1,Dutchhaven,42.94063789719459,-73.45475597971311,Golf Course,42.93622545522573,-73.48028639214687
2,Marpe Country Store LLC,42.9210581,-73.5004854,American,42.93622545522573,-73.48028639214687
3,The Quenelle,42.92042564586512,-73.50068092346191,Bakery,42.93622545522573,-73.48028639214687
0,D L Construction,42.93601989746094,-73.5510025024414,Construction,42.93702249217674,-73.54154611999897
1,Old Stable Pizzeria,42.92374420166016,-73.51675415039062,Food,42.93702249217674,-73.54154611999897
0,Lake Ridge Restaurant,42.93797930117561,-73.79483987857725,American,42.9398828838324,-73.7866084533415
1,Leah's Cakery,42.937222,-73.79734,Bakery,42.9398828838324,-73.7866084533415
2,The Mill,42.92811069625537,-73.79111399868088,American,42.9398828838324,-73.7866084533415
3,Stewart's Shops,42.93632331,-73.80798839,Convenience Store,42.9398828838324,-73.7866084533415
4,Dan's Ice Cream & Mini Golf,42.936604,-73.80753,Ice Cream,42.9398828838324,-73.7866084533415
5,Hannaford Supermarket,42.93436898467688,-73.81213496560667,Supermarket,42.9398828838324,-73.7866084533415
6,Stewart's Shops,42.94768442,-73.78522588,Gas Station,42.9398828838324,-73.7866084533415
7,United States Postal Service,42.9367456,-73.7947444,Post Office,42.9398828838324,-73.7866084533415
8,Zack's Sports,42.931936,-73.7915982,Hobbies,42.9398828838324,-73.7866084533415
9,Saratoga Wine Exchange,42.93448,-73.81199,Liquor Store,42.9398828838324,-73.7866084533415
10,Round Lake NY,42.935762026120486,-73.79078718230122,Lake,42.9398828838324,-73.7866084533415
11,Round Lake Auditorium,42.93675291542127,-73.79382615179655,Theater,42.9398828838324,-73.7866084533415
12,Zim Smith Mid-County Trail,42.93708751361369,-73.79677534103394,Trail,42.9398828838324,-73.7866084533415
13,Leah's Cakery,42.937241,-73.797235,Bakery,42.9398828838324,-73.7866084533415
14,Villa Pizza,42.9319850880295,-73.79116059314947,Pizza,42.9398828838324,-73.7866084533415
15,Exit 11 Gulf Truck Stop,42.93673321193021,-73.80684276032103,Gas Station,42.9398828838324,-73.7866084533415
16,Mulligans Motel,42.93729478634939,-73.80611384098438,Hotel,42.9398828838324,-73.7866084533415
17,Round Lake Airport (W57),42.93243741273342,-73.76911640167236,Airport,42.9398828838324,-73.7866084533415
18,Trustco Bank,42.9349431,-73.8108289,Bank,42.9398828838324,-73.7866084533415
19,Vincenzo's Pizza Shop,42.95848769498859,-73.79101122889415,Pizza,42.9398828838324,-73.7866084533415
20,Saratoga-Wilton Soccer Club,42.959842,-73.78946,Soccer Field,42.9398828838324,-73.7866084533415
21,BodyWise Fitness Studio,42.96046053529104,-73.79158233429168,Athletics & Sports,42.9398828838324,-73.7866084533415
22,100 Acre Woods,42.95661410892748,-73.76669783379319,Trail,42.9398828838324,-73.7866084533415
0,Charlton Tavern,42.93414263060374,-73.96018283258348,American,42.94168394282804,-73.97042692425019
1,Charlton House,42.93409287929535,-73.9600521326065,American,42.94168394282804,-73.97042692425019
2,Elmer Smith Park,42.92834823619019,-73.96480037184564,Playground,42.94168394282804,-73.97042692425019
3,Hewitts Garden Center: Scotia,42.93782584192321,-73.99600982666016,Garden Center,42.94168394282804,-73.97042692425019
4,Shades of Green,42.957091,-73.987633,Flower Shop,42.94168394282804,-73.97042692425019
0,None,42.94195542671184,-74.00106492165571,None,42.94195542671184,-74.00106492165571
0,Liberty Ridge Farm,42.923233228826334,-73.64262051612756,Farm,42.91848154305232,-73.6185599171189
1,Corn Maze,42.923237877960375,-73.64234456393832,Farm,42.91848154305232,-73.6185599171189
2,Hudson River Drive-in Theatre,42.93104,-73.64371,History Museum,42.91848154305232,-73.6185599171189
0,ski venture,42.922267,-74.038526,Lodge,42.9228531572962,-74.04732323796374
0,Valentino's,42.91777038574219,-74.13358306884766,Italian,42.92334659609072,-74.10858234654523
0,Stewart's Shops,42.92922356685814,-74.20374858023649,Convenience Store,42.92423514073944,-74.23110494233765
1,South 30 Diner,42.90930453341537,-74.21721176287498,Diner,42.92423514073944,-74.23110494233765
2,Campers World,42.93461494816529,-74.2450170305734,Sporting Goods,42.92423514073944,-74.23110494233765
3,AAA Amsterdam,42.930944,-74.20867,Travel,42.92423514073944,-74.23110494233765
4,Domadie's,42.93074035644531,-74.20816040039062,American,42.92423514073944,-74.23110494233765
5,Southside Beverage,42.93074035644531,-74.20816040039062,Beer Store,42.92423514073944,-74.23110494233765
6,Clay's Food Emporium,42.9092903137207,-74.21720886230469,Food,42.92423514073944,-74.23110494233765
7,RVO's Detailing,42.9050028,-74.2255251,Moving Target,42.92423514073944,-74.23110494233765
8,Valley Mini Mart,42.92876585738973,-74.20115142827675,Convenience Store,42.92423514073944,-74.23110494233765
0,Historic Barns At Nipmoose,42.91046200738823,-73.43476505465654,Event Space,42.89683518260832,-73.45063455174478
0,Bubble's Restaurant,42.89716795698581,-73.68886613205443,Diner,42.89988809285728,-73.6955286653432
1,Ugly Rooster Cafe,42.9077437930601,-73.68409922424243,Café,42.89988809285728,-73.6955286653432
2,The Fairways of Halfmoon,42.90280412911181,-73.71117158219842,Golf Course,42.89988809285728,-73.6955286653432
3,Stewart's Shops,42.89984457778183,-73.68946316375217,Gas Station,42.89988809285728,-73.6955286653432
4,Cumberland Farms,42.900928054135946,-73.68976056575775,Convenience Store,42.89988809285728,-73.6955286653432
5,Subway,42.90362618544457,-73.6891410655902,Sandwiches,42.89988809285728,-73.6955286653432
6,Stewart's Shops,42.903226,-73.69002900000001,Convenience Store,42.89988809285728,-73.6955286653432
7,Bucciero's,42.905478,-73.684764,Pizza,42.89988809285728,-73.6955286653432
8,Dollar General,42.910331623770695,-73.68493350655737,Discount Store,42.89988809285728,-73.6955286653432
9,Dunkin',42.90261322400093,-73.68872595767209,Donuts,42.89988809285728,-73.6955286653432
10,Park Avenue Confectionary and General Store,42.903222,-73.688967,Candy Store,42.89988809285728,-73.6955286653432
11,McBride Fields,42.897918,-73.72014300000001,Soccer Field,42.89988809285728,-73.6955286653432
12,blu tea company & boutique,42.902968,-73.687617,Tea Room,42.89988809285728,-73.6955286653432
13,Forgotten Freshness,42.909305572509766,-73.68952941894531,Video Games,42.89988809285728,-73.6955286653432
14,Hank Hudson Brewing Company,42.901939,-73.71153,Brewery,42.89988809285728,-73.6955286653432
15,Mechanicville Stillwater Lassie League Fields,42.89533303424848,-73.72253321230652,Baseball Field,42.89988809285728,-73.6955286653432
0,The Fairways of Halfmoon,42.90280412911181,-73.71117158219842,Golf Course,42.90023288267884,-73.72614301996256
1,McBride Fields,42.897918,-73.72014300000001,Soccer Field,42.90023288267884,-73.72614301996256
2,Stewart's Shops,42.87919528,-73.72319155,Gas Station,42.90023288267884,-73.72614301996256
3,Hank Hudson Brewing Company,42.901939,-73.71153,Brewery,42.90023288267884,-73.72614301996256
4,Didomenico Law,42.88016891479492,-73.72272491455078,Lawyer,42.90023288267884,-73.72614301996256
5,Mechanicville Stillwater Little League Field,42.90729361434507,-73.6992345745074,Baseball Field,42.90023288267884,-73.72614301996256
0,Stewart's Shops,42.89266306,-73.7720816,Convenience Store,42.90056948801082,-73.75675790759672
1,Powers Irish Pub,42.88846543456516,-73.77205291420799,Irish,42.90056948801082,-73.75675790759672
2,Metabolic,42.90150451660156,-73.76184844970703,Gym,42.90056948801082,-73.75675790759672
3,Sysco,42.89727663409664,-73.767295362885,Food & Drink,42.90056948801082,-73.75675790759672
4,Lumberjackie's Tree Service LLC,42.90820722169719,-73.76543641090392,Home Services,42.90056948801082,-73.75675790759672
5,Nordic Concrete Pumping,42.917951,-73.7601169,Construction,42.90056948801082,-73.75675790759672
0,Carney's,42.90954802477832,-73.87517825127203,New American,42.90183405678148,-73.87922253237716
1,Sam's Chinese,42.914337543388704,-73.89468324396378,Chinese,42.90183405678148,-73.87922253237716
2,Mama's,42.91004584267194,-73.89877895617516,Fast Food,42.90183405678148,-73.87922253237716
3,Burnt Hills Cafe,42.90790208489168,-73.90007025400071,Diner,42.90183405678148,-73.87922253237716
4,Stewart's Shops,42.90912555620268,-73.87548238938533,Convenience Store,42.90183405678148,-73.87922253237716
5,Stewart’s Shop,42.909724,-73.898059,Convenience Store,42.90183405678148,-73.87922253237716
6,Fo'Castle Farm Country Store,42.9044889315579,-73.89671644457863,Farmer's Market,42.90183405678148,-73.87922253237716
7,Dollar General,42.90496319201923,-73.90162249066196,Discount Store,42.90183405678148,-73.87922253237716
8,Pizza Works - Burnt Hills,42.90195330298801,-73.90486845256075,Pizza,42.90183405678148,-73.87922253237716
9,Eagle crest golf club,42.89176289542012,-73.85316258165778,Golf Course,42.90183405678148,-73.87922253237716
10,Subway,42.90460131459124,-73.90189480365115,Sandwiches,42.90183405678148,-73.87922253237716
11,CVS pharmacy,42.910688,-73.898944,Pharmacy,42.90183405678148,-73.87922253237716
12,Town Of Ballston Veteran's Bike Path,42.910527625506994,-73.87588942574645,Trail,42.90183405678148,-73.87922253237716
13,PTO Home Service & Repairs,42.915705,-73.881079,Construction,42.90183405678148,-73.87922253237716
14,BH-BL Centennial Field,42.914437,-73.893632,Athletics & Sports,42.90183405678148,-73.87922253237716
15,Virtual Geek Support,42.91204452514648,-73.86109924316406,Other Repair,42.90183405678148,-73.87922253237716
16,"Burnt Hills Optical, Inc.",42.907806738564645,-73.90090709111767,Optical,42.90183405678148,-73.87922253237716
17,Spectrum Ballston Lake,42.91025034230814,-73.85909914970398,Business Services,42.90183405678148,-73.87922253237716
18,Players Park,42.892141,-73.856245,Golf Course,42.90183405678148,-73.87922253237716
19,Hurricane Sprinklers and Landscape Lighting,42.910404205322266,-73.858642578125,Construction,42.90183405678148,-73.87922253237716
20,Cimino's Home Enhancements,42.888907,-73.862877,Construction,42.90183405678148,-73.87922253237716
21,Sportline Power Products,42.9221612,-73.8836508,Motorsports Shop,42.90183405678148,-73.87922253237716
22,Computer Sense,42.899944954087566,-73.90771154232789,IT Services,42.90183405678148,-73.87922253237716
0,Greater Glenville YMCA,42.89152384878504,-73.93397177739614,Gym / Fitness,42.90241722453472,-73.94045771014342
1,Marcella's Restaurant,42.89230024209292,-73.92106549570104,American,42.90241722453472,-73.94045771014342
2,Indian Meadows,42.884685590235954,-73.94454968759466,Park,42.90241722453472,-73.94045771014342
3,Bayou Cafe,42.8917077381788,-73.9217236249963,American,42.90241722453472,-73.94045771014342
4,Magic Maze,42.90669631958008,-73.93759155273438,Playground,42.90241722453472,-73.94045771014342
5,Little Troy Park,42.91555151238851,-73.9472361249408,Lake,42.90241722453472,-73.94045771014342
6,Family Eye Care,42.89010620117188,-73.92413330078125,Optical,42.90241722453472,-73.94045771014342
7,Hewitts Garden Center,42.88690185546875,-73.92664337158203,Garden Center,42.90241722453472,-73.94045771014342
8,Regulars Liquor Cabinet,42.886121448434686,-73.92530293735027,Liquor Store,42.90241722453472,-73.94045771014342
0,Bubble's Restaurant,42.89716795698581,-73.68886613205443,Diner,42.88022084014116,-73.68063727138151
1,Stewart's Shops,42.89984457778183,-73.68946316375217,Gas Station,42.88022084014116,-73.68063727138151
2,Cumberland Farms,42.900928054135946,-73.68976056575775,Convenience Store,42.88022084014116,-73.68063727138151
3,TNT Boat Tops,42.87385940551758,-73.67839813232422,Harbor / Marina,42.88022084014116,-73.68063727138151
4,Drain Care Septic and Sewer Service,42.8673148609848,-73.67077589035034,Home Services,42.88022084014116,-73.68063727138151
5,"Maintain Consulting & Inspection Services, LLC",42.86048889160156,-73.68645477294922,Home Services,42.88022084014116,-73.68063727138151
0,VENT Fitness,42.8696691,-73.823874,Gym,42.88188227657324,-73.83366478115278
1,The Main Street Grille,42.89312402532241,-73.82110035576453,American,42.88188227657324,-73.83366478115278
2,Antipasto's,42.869555917140296,-73.81975650787354,Vegetarian / Vegan,42.88188227657324,-73.83366478115278
3,Ocean State Job Lot,42.86882875583844,-73.82177757769888,Department Store,42.88188227657324,-73.83366478115278
4,Kinns road park,42.88742883169009,-73.81097334229685,Dog Run,42.88188227657324,-73.83366478115278
5,Cumberland Farms,42.86961489120352,-73.81978332996368,Convenience Store,42.88188227657324,-73.83366478115278
6,The Vista @ The Van Patten Golf Course,42.90336810209246,-73.82751736226182,American,42.88188227657324,-73.83366478115278
7,Van Patten Golf Club,42.9033907648304,-73.82760106726181,Golf Course,42.88188227657324,-73.83366478115278
8,Stewart's Shops,42.86975,-73.82143682,Convenience Store,42.88188227657324,-73.83366478115278
